cluster_id,size,members
24374.0,3,"[15164, 24374, 87779]"
5094.0,3,"[5094, 18004, 94764]"
78181.0,3,"[5347, 78181, 87950]"
15015.0,3,"[15015, 15018, 15019]"
14995.0,3,"[14995, 21353, 84977]"
11569.0,3,"[11569, 33346, 68687]"
78450.0,3,"[12279, 78450, 78451]"
12245.0,3,"[12242, 12245, 12246]"
12555.0,3,"[12555, 35975, 77649]"
13137.0,3,"[13137, 33681, 87955]"
13106.0,3,"[13106, 13109, 43007]"
5297.0,3,"[5297, 83998, 87808]"
5294.0,3,"[5294, 79128, 92312]"
7139.0,3,"[5692, 7139, 7140]"
5659.0,3,"[5659, 49953, 77129]"
13033.0,3,"[13033, 13037, 13039]"
12967.0,3,"[12967, 12968, 12969]"
12958.0,3,"[12958, 12960, 34071]"
10558.0,3,"[10558, 10564, 46512]"
10538.0,3,"[10538, 42877, 99638]"
10210.0,3,"[10210, 76792, 88990]"
10191.0,3,"[10190, 10191, 10193]"
41479.0,3,"[10897, 41479, 41482]"
10690.0,3,"[10690, 72488, 87763]"
10572.0,3,"[10572, 13504, 91973]"
11768.0,3,"[11768, 11771, 11772]"
5359.0,3,"[5359, 85181, 87961]"
5357.0,3,"[5357, 78178, 87957]"
5354.0,3,"[5354, 78171, 87963]"
5351.0,3,"[5351, 78174, 87964]"
6690.0,3,"[6690, 24949, 24953]"
8228.0,3,"[8228, 8296, 77765]"
67994.0,3,"[67994, 67995, 67997]"
67723.0,3,"[67723, 67726, 67728]"
69511.0,3,"[69511, 81776, 96986]"
73322.0,3,"[73322, 73324, 73327]"
76627.0,3,"[76627, 85987, 85987]"
76782.0,3,"[76782, 76782, 91884]"
77986.0,3,"[77986, 77988, 77989]"
84507.0,3,"[84507, 84508, 84509]"
84906.0,3,"[84906, 84909, 87992]"
6138.0,3,"[6138, 6145, 45214]"
7588.0,3,"[7588, 7590, 7593]"
2.0,3,"[2, 70356, 77522]"
15237.0,3,"[31, 15237, 15247]"
34.0,3,"[34, 119, 92671]"
277.0,3,"[277, 6463, 89305]"
74.0,3,"[74, 82, 19895]"
7038.0,3,"[7038, 7039, 77570]"
7035.0,3,"[7035, 7059, 97887]"
6834.0,3,"[6834, 7007, 74595]"
7346.0,3,"[7346, 28854, 77677]"
7332.0,3,"[7332, 63413, 77673]"
7329.0,3,"[7329, 77674, 92034]"
94861.0,3,"[94861, 94862, 94865]"
99300.0,3,"[99300, 99302, 99306]"
98567.0,2,"[98567, 98568]"
99942.0,2,"[99942, 99945]"
3.0,2,"[3, 77523]"
21.0,2,"[21, 76799]"
26.0,2,"[26, 10539]"
28.0,2,"[28, 10540]"
290.0,2,"[290, 51884]"
275.0,2,"[275, 56976]"
264.0,2,"[264, 27556]"
95096.0,2,"[95096, 95097]"
95105.0,2,"[95105, 95110]"
95135.0,2,"[95135, 95140]"
95338.0,2,"[95338, 95339]"
95722.0,2,"[95722, 95723]"
